id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,latitude,longitude,iso2,iso3,country_region,admin_region_1,iso_subdivision,admin_region_2,load_time
123848691,2021-03-21,21716,20,526,4,20068,97,-12.33292,17.57284,AO,AGO,Angola,,,,2025-10-11T00:06:33.8734980
96224639,2020-12-19,10,0,0,0,3,0,18.21482,-63.0547,AI,AIA,Anguilla,,,,2025-10-11T00:06:33.8734980
194148139,2022-05-30,11,0,0,0,,,-80.20264,28.70341,AQ,ATA,Antarctica,,,,2025-10-11T00:06:33.8734980
165344813,2021-10-26,4031,6,99,0,0,0,17.07767,-61.79871,AG,ATG,Antigua and Barbuda,,,,2025-10-11T00:06:33.8734980
119005881,2021-02-15,2029004,3259,50327,91,1833404,6301,-35.18115,-65.09386,AR,ARG,Argentina,,,,2025-10-11T00:06:33.8734980
79416532,2020-10-27,535235,4221,16802,144,446889,3926,-36.6753,-60.55758,AR,ARG,Argentina,Buenos Aires,AR-B,,2025-10-11T00:06:33.8734980
194875372,2022-06-03,3286,0,0,0,,,-27.34156,-66.94754,AR,ARG,Argentina,Catamarca,AR-K,,2025-10-11T00:06:33.8734980
176334026,2022-01-23,79131,0,895,0,69721,0,-30.93488,-64.28046,AR,ARG,Argentina,Cordoba,,,2025-10-11T00:06:33.8734980
149290136,2021-07-20,1935267,3934,50657,0,1761756,0,-34.60849,-58.37344,AR,ARG,Argentina,City of Buenos Aires,,,2025-10-11T00:06:33.8734980
90294287,2020-12-02,19822,227,565,10,17530,549,-26.38626,-60.76559,AR,ARG,Argentina,Chaco,AR-H,,2025-10-11T00:06:33.8734980
44216443,2020-07-16,222,9,2,0,143,19,-43.79044,-68.52538,AR,ARG,Argentina,Chubut,AR-U,,2025-10-11T00:06:33.8734980
213002414,2022-10-06,36427,0,0,0,,,-43.79044,-68.52538,AR,ARG,Argentina,Chubut,AR-U,,2025-10-11T00:06:33.8734980
176605595,2022-01-25,1033241,0,16402,0,866108,0,-34.61459,-58.44583,AR,ARG,Argentina,City of Buenos Aires,,,2025-10-11T00:06:33.8734980
144876560,2021-06-29,77005,649,1025,0,68041,0,-27.47178,-58.84017,AR,ARG,Argentina,Corrientes,AR-W,,2025-10-11T00:06:33.8734980
103219936,2021-01-07,131427,931,2524,0,,,-32.14068,-63.80113,AR,ARG,Argentina,Cordoba,,,2025-10-11T00:06:33.8734980
66012260,2020-09-21,6291,85,0,0,,,-32.0573,-59.20301,AR,ARG,Argentina,Entre Rios,,,2025-10-11T00:06:33.8734980
41186725,2020-07-07,336,5,0,0,56,0,-32.0573,-59.20301,AR,ARG,Argentina,Entre Rios,,,2025-10-11T00:06:33.8734980
182577840,2022-03-09,371,0,0,0,,,-24.89491,-59.9325,AR,ARG,Argentina,Formosa,AR-P,,2025-10-11T00:06:33.8734980
164531793,2021-10-20,48198,11,1529,0,46071,0,-24.18813,-65.29604,AR,ARG,Argentina,Jujuy,AR-Y,,2025-10-11T00:06:33.8734980
137485125,2021-05-26,17694,189,614,0,14543,0,-29.68154,-67.17717,AR,ARG,Argentina,La Rioja,AR-F,,2025-10-11T00:06:33.8734980
92861468,2020-12-09,18286,221,317,6,15394,501,-28.46883,-67.6901,AR,ARG,Argentina,La Rioja,AR-F,,2025-10-11T00:06:33.8734980
32607585,2020-06-19,39,1,2,0,,,-26.87498,-54.65082,AR,ARG,Argentina,Misiones,AR-N,,2025-10-11T00:06:33.8734980
208522994,2022-09-05,1520,0,0,0,,,-26.87498,-54.65082,AR,ARG,Argentina,Misiones,AR-N,,2025-10-11T00:06:33.8734980
183522253,2022-03-16,61591,0,0,0,,,-32.89035,-68.84332,AR,ARG,Argentina,Mendoza,AR-M,,2025-10-11T00:06:33.8734980
